holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,hour,day_of_week,month,year,is_weekend,lag_1,lag_24,lag_168,traffic_volume
none,10.31,0.00,0.00,90.00,clouds,overcast clouds,22.00,1.00,10.00,2012.00,False,2306.00,1400.00,1529.00,1846.00
none,9.30,0.00,0.00,90.00,clouds,overcast clouds,23.00,1.00,10.00,2012.00,False,1846.00,917.00,963.00,947.00
none,8.73,0.00,0.00,90.00,clouds,overcast clouds,0.00,2.00,10.00,2012.00,False,947.00,515.00,506.00,494.00
none,8.62,0.00,0.00,90.00,clouds,overcast clouds,1.00,2.00,10.00,2012.00,False,494.00,302.00,321.00,332.00
none,7.93,0.00,0.00,75.00,clouds,broken clouds,2.00,2.00,10.00,2012.00,False,332.00,251.00,273.00,261.00
none,6.95,0.00,0.00,99.00,drizzle,light intensity drizzle,8.00,2.00,10.00,2012.00,False,6793.00,5765.00,6511.00,6283.00
none,6.46,0.00,0.00,99.00,drizzle,light intensity drizzle,9.00,2.00,10.00,2012.00,False,6283.00,5599.00,5471.00,5680.00
none,8.93,0.00,0.00,75.00,clouds,broken clouds,12.00,2.00,10.00,2012.00,False,4887.00,5067.00,5097.00,5030.00
none,9.11,0.00,0.00,75.00,clouds,broken clouds,13.00,2.00,10.00,2012.00,False,5030.00,5030.00,4887.00,5067.00
none,8.90,0.00,0.00,90.00,clouds,overcast clouds,14.00,2.00,10.00,2012.00,False,5067.00,5300.00,5337.00,5227.00
none,8.43,0.00,0.00,90.00,clouds,overcast clouds,15.00,2.00,10.00,2012.00,False,5227.00,5777.00,5692.00,5610.00
none,8.08,0.00,0.00,81.00,clear,sky is clear,16.00,2.00,10.00,2012.00,False,5610.00,6349.00,6137.00,6286.00
none,9.45,0.00,0.00,81.00,clear,sky is clear,19.00,2.00,10.00,2012.00,False,4775.00,3418.00,3591.00,3340.00
none,9.45,0.00,0.00,81.00,clear,sky is clear,20.00,2.00,10.00,2012.00,False,3340.00,2775.00,2898.00,3013.00
none,9.45,0.00,0.00,81.00,clear,sky is clear,21.00,2.00,10.00,2012.00,False,3013.00,2306.00,2637.00,2603.00
none,9.45,0.00,0.00,81.00,clear,sky is clear,22.00,2.00,10.00,2012.00,False,2603.00,1846.00,1777.00,1910.00
none,9.45,0.00,0.00,81.00,clear,sky is clear,23.00,2.00,10.00,2012.00,False,1910.00,947.00,1015.00,1037.00
none,-0.49,0.00,0.00,1.00,clear,sky is clear,6.00,3.00,10.00,2012.00,False,2791.00,5875.00,5689.00,5809.00
none,-0.50,0.00,0.00,1.00,clear,sky is clear,7.00,3.00,10.00,2012.00,False,5809.00,6793.00,6990.00,6798.00
none,-0.63,0.00,0.00,1.00,clear,sky is clear,8.00,3.00,10.00,2012.00,False,6798.00,6283.00,5985.00,6304.00
none,2.04,0.00,0.00,20.00,clouds,few clouds,9.00,3.00,10.00,2012.00,False,6304.00,5680.00,5309.00,5291.00
none,2.18,0.00,0.00,1.00,clear,sky is clear,10.00,3.00,10.00,2012.00,False,5291.00,4632.00,4603.00,4638.00
none,10.95,0.00,0.00,50.00,clear,sky is clear,15.00,3.00,10.00,2012.00,False,5557.00,5610.00,5713.00,5818.00
none,10.62,0.00,0.00,75.00,clouds,broken clouds,16.00,3.00,10.00,2012.00,False,5818.00,6286.00,6292.00,6272.00
none,10.17,0.00,0.00,90.00,clouds,overcast clouds,18.00,3.00,10.00,2012.00,False,5944.00,4775.00,4907.00,4949.00
none,8.91,0.00,0.00,90.00,clouds,overcast clouds,19.00,3.00,10.00,2012.00,False,4949.00,3340.00,3503.00,3511.00
none,8.80,0.00,0.00,90.00,clouds,overcast clouds,20.00,3.00,10.00,2012.00,False,3511.00,3013.00,3037.00,3039.00
none,8.66,0.00,0.00,90.00,clouds,overcast clouds,21.00,3.00,10.00,2012.00,False,3039.00,2603.00,2822.00,2679.00
none,9.01,0.00,0.00,90.00,clouds,overcast clouds,22.00,3.00,10.00,2012.00,False,2679.00,1910.00,1992.00,2094.00
none,9.37,0.00,0.00,90.00,clouds,overcast clouds,23.00,3.00,10.00,2012.00,False,2094.00,1037.00,1166.00,1284.00
none,11.49,0.00,0.00,90.00,clouds,overcast clouds,1.00,4.00,10.00,2012.00,False,630.00,347.00,388.00,410.00
none,10.03,0.00,0.00,72.00,drizzle,light intensity drizzle,3.00,4.00,10.00,2012.00,False,331.00,350.00,368.00,372.00
none,7.62,0.00,0.00,72.00,drizzle,light intensity drizzle,5.00,4.00,10.00,2012.00,False,739.00,2791.00,2489.00,2561.00
none,5.37,0.00,0.00,75.00,clouds,broken clouds,6.00,4.00,10.00,2012.00,False,2561.00,5809.00,5537.00,5586.00
none,4.49,0.00,0.00,75.00,clouds,broken clouds,7.00,4.00,10.00,2012.00,False,5586.00,6798.00,6628.00,6992.00
none,4.75,0.00,0.00,90.00,clouds,overcast clouds,8.00,4.00,10.00,2012.00,False,6992.00,6304.00,5534.00,5860.00
none,5.03,0.00,0.00,90.00,clouds,overcast clouds,9.00,4.00,10.00,2012.00,False,5860.00,5291.00,5403.00,5230.00
none,6.14,0.00,0.00,75.00,clouds,broken clouds,10.00,4.00,10.00,2012.00,False,5230.00,4638.00,4770.00,4864.00
none,8.68,0.00,0.00,75.00,clouds,broken clouds,14.00,4.00,10.00,2012.00,False,5383.00,5557.00,6108.00,5758.00
none,9.30,0.00,0.00,75.00,clouds,broken clouds,15.00,4.00,10.00,2012.00,False,5758.00,5818.00,6128.00,5889.00
none,9.05,0.00,0.00,75.00,clouds,broken clouds,16.00,4.00,10.00,2012.00,False,5889.00,6272.00,6069.00,6057.00
none,8.39,0.00,0.00,40.00,clouds,scattered clouds,17.00,4.00,10.00,2012.00,False,6057.00,5944.00,6169.00,6028.00
none,7.06,0.00,0.00,20.00,clouds,few clouds,18.00,4.00,10.00,2012.00,False,6028.00,4949.00,5384.00,5257.00
none,-0.57,0.00,0.00,1.00,clear,sky is clear,0.00,5.00,10.00,2012.00,True,1897.00,630.00,1231.00,1335.00
none,-1.09,0.00,0.00,1.00,clear,sky is clear,1.00,5.00,10.00,2012.00,True,1335.00,410.00,718.00,769.00
none,-2.16,0.00,0.00,1.00,clear,sky is clear,2.00,5.00,10.00,2012.00,True,769.00,331.00,545.00,570.00
none,-3.67,0.00,0.00,1.00,clear,sky is clear,4.00,5.00,10.00,2012.00,True,413.00,739.00,411.00,399.00
none,-3.88,0.00,0.00,1.00,clear,sky is clear,5.00,5.00,10.00,2012.00,True,399.00,2561.00,688.00,740.00
none,-4.24,0.00,0.00,1.00,clear,sky is clear,6.00,5.00,10.00,2012.00,True,740.00,5586.00,1352.00,1420.00
none,-4.17,0.00,0.00,75.00,clouds,broken clouds,7.00,5.00,10.00,2012.00,True,1420.00,6992.00,2072.00,2220.00
none,-3.92,0.00,0.00,40.00,clouds,scattered clouds,8.00,5.00,10.00,2012.00,True,2220.00,5860.00,3342.00,3479.00
none,-0.54,0.00,0.00,40.00,clouds,scattered clouds,9.00,5.00,10.00,2012.00,True,3479.00,5230.00,4258.00,4546.00
none,3.62,0.00,0.00,20.00,clouds,few clouds,10.00,5.00,10.00,2012.00,True,4546.00,4864.00,4861.00,4579.00
none,6.07,0.00,0.00,1.00,clear,sky is clear,11.00,5.00,10.00,2012.00,True,4579.00,5146.00,5191.00,4438.00
none,7.20,0.00,0.00,1.00,clear,sky is clear,12.00,5.00,10.00,2012.00,True,4438.00,5526.00,5669.00,4623.00
none,8.66,0.00,0.00,1.00,clear,sky is clear,13.00,5.00,10.00,2012.00,True,4623.00,5383.00,5074.00,4440.00
none,9.90,0.00,0.00,1.00,clear,sky is clear,14.00,5.00,10.00,2012.00,True,4440.00,5758.00,5025.00,4495.00
none,10.81,0.00,0.00,1.00,clear,sky is clear,15.00,5.00,10.00,2012.00,True,4495.00,5889.00,5153.00,4483.00
none,11.37,0.00,0.00,1.00,clear,sky is clear,16.00,5.00,10.00,2012.00,True,4483.00,6057.00,5024.00,4591.00
none,11.29,0.00,0.00,1.00,clear,sky is clear,17.00,5.00,10.00,2012.00,True,4591.00,6028.00,4779.00,4477.00
none,10.49,0.00,0.00,1.00,clear,sky is clear,18.00,5.00,10.00,2012.00,True,4477.00,5257.00,4362.00,4221.00
none,9.03,0.00,0.00,90.00,clouds,overcast clouds,23.00,5.00,10.00,2012.00,True,2875.00,1897.00,1941.00,1931.00
none,9.34,0.00,0.00,90.00,clouds,overcast clouds,0.00,6.00,10.00,2012.00,True,1931.00,1335.00,1233.00,1309.00
none,9.08,0.00,0.00,90.00,clouds,overcast clouds,3.00,6.00,10.00,2012.00,True,654.00,413.00,323.00,364.00
none,8.93,0.00,0.00,90.00,clouds,overcast clouds,4.00,6.00,10.00,2012.00,True,364.00,399.00,312.00,262.00
none,9.08,0.00,0.00,90.00,clouds,overcast clouds,5.00,6.00,10.00,2012.00,True,262.00,740.00,627.00,505.00
none,9.09,0.00,0.00,90.00,clouds,overcast clouds,6.00,6.00,10.00,2012.00,True,505.00,1420.00,1508.00,861.00
none,9.09,0.00,0.00,90.00,clouds,overcast clouds,7.00,6.00,10.00,2012.00,True,861.00,2220.00,1539.00,1132.00
none,9.09,0.00,0.00,57.00,mist,mist,8.00,6.00,10.00,2012.00,True,1132.00,3479.00,2232.00,1797.00
none,9.28,0.00,0.00,57.00,haze,haze,9.00,6.00,10.00,2012.00,True,1797.00,4546.00,4568.00,2685.00
none,9.18,0.00,0.00,57.00,mist,mist,10.00,6.00,10.00,2012.00,True,2685.00,4579.00,4624.00,3370.00
none,9.67,0.00,0.00,57.00,mist,mist,11.00,6.00,10.00,2012.00,True,3370.00,4438.00,4529.00,3662.00
none,10.18,0.00,0.00,57.00,drizzle,light intensity drizzle,12.00,6.00,10.00,2012.00,True,3662.00,4623.00,5139.00,4076.00
none,10.60,0.00,0.00,93.00,drizzle,light intensity drizzle,13.00,6.00,10.00,2012.00,True,4076.00,4440.00,6640.00,4128.00
none,10.93,0.00,0.00,93.00,drizzle,light intensity drizzle,14.00,6.00,10.00,2012.00,True,4128.00,4495.00,6589.00,4358.00
none,11.40,0.00,0.00,93.00,rain,light rain,15.00,6.00,10.00,2012.00,True,4358.00,4483.00,4429.00,4342.00
none,11.53,0.00,0.00,93.00,mist,mist,16.00,6.00,10.00,2012.00,True,4342.00,4591.00,4329.00,4234.00
none,11.49,0.00,0.00,93.00,mist,mist,17.00,6.00,10.00,2012.00,True,4234.00,4477.00,3833.00,4271.00
none,11.25,0.00,0.00,93.00,mist,mist,18.00,6.00,10.00,2012.00,True,4271.00,4221.00,4015.00,4080.00
none,11.02,0.00,0.00,93.00,mist,mist,19.00,6.00,10.00,2012.00,True,4080.00,3672.00,3382.00,3453.00
none,10.87,0.00,0.00,93.00,mist,mist,20.00,6.00,10.00,2012.00,True,3453.00,3015.00,2815.00,2718.00
none,10.43,0.00,0.00,93.00,mist,mist,21.00,6.00,10.00,2012.00,True,2718.00,2769.00,2110.00,2439.00
none,9.89,0.00,0.00,93.00,mist,mist,22.00,6.00,10.00,2012.00,True,2439.00,2875.00,1555.00,1819.00
none,8.80,0.00,0.00,93.00,fog,fog,23.00,6.00,10.00,2012.00,True,1819.00,1931.00,959.00,1002.00
none,8.46,0.00,0.00,93.00,fog,fog,0.00,0.00,10.00,2012.00,False,1002.00,1309.00,455.00,542.00
none,8.42,0.00,0.00,85.00,fog,fog,1.00,0.00,10.00,2012.00,False,542.00,870.00,336.00,303.00
none,8.27,0.00,0.00,85.00,fog,fog,2.00,0.00,10.00,2012.00,False,303.00,654.00,265.00,239.00
none,8.14,0.00,0.00,85.00,fog,fog,3.00,0.00,10.00,2012.00,False,239.00,364.00,314.00,335.00
none,7.87,0.00,0.00,85.00,fog,fog,4.00,0.00,10.00,2012.00,False,335.00,262.00,779.00,810.00
none,7.67,0.00,0.00,85.00,fog,fog,5.00,0.00,10.00,2012.00,False,810.00,505.00,2571.00,2606.00
none,7.24,0.00,0.00,85.00,mist,mist,6.00,0.00,10.00,2012.00,False,2606.00,861.00,5563.00,5714.00
none,7.04,0.00,0.00,100.00,mist,mist,7.00,0.00,10.00,2012.00,False,5714.00,1132.00,6676.00,6798.00
none,6.67,0.00,0.00,100.00,mist,mist,8.00,0.00,10.00,2012.00,False,6798.00,1797.00,5966.00,6114.00
none,6.60,0.00,0.00,100.00,mist,mist,9.00,0.00,10.00,2012.00,False,6114.00,2685.00,4832.00,5094.00
none,6.92,0.00,0.00,100.00,mist,mist,10.00,0.00,10.00,2012.00,False,5094.00,3370.00,4395.00,4473.00
none,7.17,0.00,0.00,90.00,clouds,overcast clouds,11.00,0.00,10.00,2012.00,False,4473.00,3662.00,4411.00,4529.00
none,8.57,0.00,0.00,100.00,clear,sky is clear,12.00,0.00,10.00,2012.00,False,4529.00,4076.00,4648.00,4823.00
none,10.86,0.00,0.00,40.00,clouds,scattered clouds,13.00,0.00,10.00,2012.00,False,4823.00,4128.00,4602.00,4872.00
none,12.73,0.00,0.00,1.00,clear,sky is clear,14.00,0.00,10.00,2012.00,False,4872.00,4358.00,5125.00,5238.00
none,13.72,0.00,0.00,1.00,clear,sky is clear,15.00,0.00,10.00,2012.00,False,5238.00,4342.00,5502.00,5584.00
none,14.45,0.00,0.00,20.00,clouds,few clouds,16.00,0.00,10.00,2012.00,False,5584.00,4234.00,5979.00,6246.00
none,14.12,0.00,0.00,20.00,clouds,few clouds,17.00,0.00,10.00,2012.00,False,6246.00,4271.00,5663.00,5957.00
none,13.03,0.00,0.00,20.00,clouds,few clouds,18.00,0.00,10.00,2012.00,False,5957.00,4080.00,4259.00,4535.00
none,12.05,0.00,0.00,75.00,clouds,broken clouds,19.00,0.00,10.00,2012.00,False,4535.00,3453.00,3069.00,3234.00
none,11.53,0.00,0.00,75.00,clouds,broken clouds,20.00,0.00,10.00,2012.00,False,3234.00,2718.00,2378.00,2677.00
none,11.34,0.00,0.00,90.00,clouds,overcast clouds,21.00,0.00,10.00,2012.00,False,2677.00,2439.00,2030.00,2077.00
none,10.39,0.00,0.00,20.00,clouds,few clouds,22.00,0.00,10.00,2012.00,False,2077.00,1819.00,1400.00,1380.00
none,9.18,0.00,0.00,75.00,clouds,broken clouds,23.00,0.00,10.00,2012.00,False,1380.00,1002.00,917.00,927.00
none,8.06,0.00,0.00,20.00,clouds,few clouds,0.00,1.00,10.00,2012.00,False,927.00,542.00,515.00,500.00
none,6.72,0.00,0.00,1.00,clear,sky is clear,1.00,1.00,10.00,2012.00,False,500.00,303.00,302.00,324.00
none,5.78,0.00,0.00,1.00,clear,sky is clear,2.00,1.00,10.00,2012.00,False,324.00,239.00,251.00,257.00
none,4.06,0.00,0.00,1.00,clear,sky is clear,4.00,1.00,10.00,2012.00,False,354.00,810.00,798.00,769.00
none,3.46,0.00,0.00,1.00,clear,sky is clear,5.00,1.00,10.00,2012.00,False,769.00,2606.00,2678.00,2769.00
none,2.96,0.00,0.00,1.00,clear,sky is clear,6.00,1.00,10.00,2012.00,False,2769.00,5714.00,5733.00,5789.00
none,1.66,0.00,0.00,20.00,clouds,few clouds,7.00,1.00,10.00,2012.00,False,5789.00,6798.00,6449.00,7055.00
none,1.84,0.00,0.00,20.00,clouds,few clouds,8.00,1.00,10.00,2012.00,False,7055.00,6114.00,5765.00,6408.00
none,4.76,0.00,0.00,20.00,clouds,few clouds,9.00,1.00,10.00,2012.00,False,6408.00,5094.00,5599.00,5254.00
none,7.56,0.00,0.00,20.00,clouds,few clouds,10.00,1.00,10.00,2012.00,False,5254.00,4473.00,4534.00,4547.00
none,10.70,0.00,0.00,20.00,clouds,few clouds,11.00,1.00,10.00,2012.00,False,4547.00,4529.00,4691.00,4784.00
none,12.86,0.00,0.00,40.00,clouds,scattered clouds,12.00,1.00,10.00,2012.00,False,4784.00,4823.00,5067.00,5015.00
none,13.16,0.00,0.00,1.00,clear,sky is clear,13.00,1.00,10.00,2012.00,False,5015.00,4872.00,5030.00,5057.00
none,15.00,0.00,0.00,75.00,clouds,broken clouds,14.00,1.00,10.00,2012.00,False,5057.00,5238.00,5300.00,5430.00
none,16.00,0.00,0.00,75.00,clouds,broken clouds,15.00,1.00,10.00,2012.00,False,5430.00,5584.00,5777.00,5813.00
none,15.84,0.00,0.00,75.00,clouds,broken clouds,16.00,1.00,10.00,2012.00,False,5813.00,6246.00,6349.00,6496.00
none,15.71,0.00,0.00,75.00,clouds,broken clouds,17.00,1.00,10.00,2012.00,False,6496.00,5957.00,6127.00,6429.00
none,15.01,0.00,0.00,90.00,clouds,overcast clouds,18.00,1.00,10.00,2012.00,False,6429.00,4535.00,4460.00,5142.00
none,14.12,0.00,0.00,68.00,rain,light rain,19.00,1.00,10.00,2012.00,False,5142.00,3234.00,3418.00,3311.00
none,13.89,0.00,0.00,90.00,clouds,overcast clouds,20.00,1.00,10.00,2012.00,False,3311.00,2677.00,2775.00,2777.00
none,13.75,0.00,0.00,90.00,clouds,overcast clouds,21.00,1.00,10.00,2012.00,False,2777.00,2077.00,2306.00,2331.00
none,13.93,0.00,0.00,90.00,clouds,overcast clouds,22.00,1.00,10.00,2012.00,False,2331.00,1380.00,1846.00,1767.00
none,13.93,0.00,0.00,90.00,clouds,overcast clouds,23.00,1.00,10.00,2012.00,False,1767.00,927.00,947.00,1093.00
none,13.74,0.00,0.00,75.00,clouds,broken clouds,0.00,2.00,10.00,2012.00,False,1093.00,500.00,494.00,554.00
none,13.78,0.00,0.00,75.00,clouds,broken clouds,1.00,2.00,10.00,2012.00,False,554.00,324.00,332.00,333.00
none,13.78,0.00,0.00,90.00,clouds,overcast clouds,2.00,2.00,10.00,2012.00,False,333.00,257.00,261.00,267.00
none,13.92,0.00,0.00,90.00,clouds,overcast clouds,3.00,2.00,10.00,2012.00,False,267.00,354.00,361.00,358.00
none,12.14,0.00,0.00,90.00,clouds,overcast clouds,6.00,2.00,10.00,2012.00,False,2732.00,5789.00,5875.00,5637.00
none,11.77,0.00,0.00,75.00,clouds,broken clouds,7.00,2.00,10.00,2012.00,False,5637.00,7055.00,6793.00,5564.00
none,12.20,0.00,0.00,75.00,clouds,broken clouds,8.00,2.00,10.00,2012.00,False,5564.00,6408.00,6283.00,6274.00
none,12.57,0.00,0.00,100.00,rain,light rain,9.00,2.00,10.00,2012.00,False,6274.00,5254.00,5680.00,5403.00
none,13.93,0.00,0.00,75.00,clouds,broken clouds,10.00,2.00,10.00,2012.00,False,5403.00,4547.00,4632.00,4680.00
none,15.16,0.00,0.00,75.00,clouds,broken clouds,11.00,2.00,10.00,2012.00,False,4680.00,4784.00,4887.00,4642.00
none,15.46,0.00,0.00,1.00,clear,sky is clear,12.00,2.00,10.00,2012.00,False,4642.00,5015.00,5030.00,4979.00
none,17.17,0.00,0.00,1.00,clear,sky is clear,13.00,2.00,10.00,2012.00,False,4979.00,5057.00,5067.00,4851.00
none,18.21,0.00,0.00,1.00,clear,sky is clear,14.00,2.00,10.00,2012.00,False,4851.00,5430.00,5227.00,4291.00
none,18.86,0.00,0.00,1.00,clear,sky is clear,15.00,2.00,10.00,2012.00,False,4291.00,5813.00,5610.00,4714.00
none,19.46,0.00,0.00,1.00,clear,sky is clear,16.00,2.00,10.00,2012.00,False,4714.00,6496.00,6286.00,6723.00
none,17.37,0.00,0.00,40.00,clouds,scattered clouds,18.00,2.00,10.00,2012.00,False,6180.00,5142.00,4775.00,4843.00
none,15.20,0.00,0.00,40.00,clouds,scattered clouds,19.00,2.00,10.00,2012.00,False,4843.00,3311.00,3340.00,3435.00
none,13.57,0.00,0.00,40.00,clouds,scattered clouds,20.00,2.00,10.00,2012.00,False,3435.00,2777.00,3013.00,2921.00
none,12.34,0.00,0.00,40.00,clouds,scattered clouds,21.00,2.00,10.00,2012.00,False,2921.00,2331.00,2603.00,2763.00
none,11.07,0.00,0.00,20.00,clouds,few clouds,22.00,2.00,10.00,2012.00,False,2763.00,1767.00,1910.00,1930.00
none,10.65,0.00,0.00,20.00,clouds,few clouds,23.00,2.00,10.00,2012.00,False,1930.00,1093.00,1037.00,1160.00
none,9.65,0.00,0.00,40.00,clouds,scattered clouds,1.00,3.00,10.00,2012.00,False,654.00,333.00,347.00,374.00
none,9.23,0.00,0.00,99.00,mist,mist,3.00,3.00,10.00,2012.00,False,301.00,358.00,350.00,397.00
none,9.61,0.00,0.00,90.00,clouds,overcast clouds,4.00,3.00,10.00,2012.00,False,397.00,777.00,850.00,794.00
none,9.73,0.00,0.00,99.00,mist,mist,5.00,3.00,10.00,2012.00,False,794.00,2732.00,2791.00,2564.00
none,11.03,0.00,0.00,75.00,clouds,broken clouds,6.00,3.00,10.00,2012.00,False,2564.00,5637.00,5809.00,5358.00
none,11.54,0.00,0.00,90.00,clouds,overcast clouds,7.00,3.00,10.00,2012.00,False,5358.00,5564.00,6798.00,6441.00
none,11.85,0.00,0.00,90.00,clouds,overcast clouds,8.00,3.00,10.00,2012.00,False,6441.00,6274.00,6304.00,5536.00
none,13.75,0.00,0.00,99.00,rain,light rain,9.00,3.00,10.00,2012.00,False,5536.00,5403.00,5291.00,5256.00
none,15.20,0.00,0.00,90.00,clouds,overcast clouds,10.00,3.00,10.00,2012.00,False,5256.00,4680.00,4638.00,4619.00
none,12.81,0.00,0.00,90.00,clouds,overcast clouds,14.00,3.00,10.00,2012.00,False,5283.00,4291.00,5557.00,5704.00
none,13.89,0.00,0.00,90.00,clouds,overcast clouds,15.00,3.00,10.00,2012.00,False,5704.00,4714.00,5818.00,5887.00
none,14.03,0.00,0.00,90.00,clouds,overcast clouds,16.00,3.00,10.00,2012.00,False,5887.00,6723.00,6272.00,6307.00
none,13.79,0.00,0.00,90.00,clouds,overcast clouds,17.00,3.00,10.00,2012.00,False,6307.00,6180.00,5944.00,5953.00
none,12.86,0.00,0.00,90.00,clouds,overcast clouds,18.00,3.00,10.00,2012.00,False,5953.00,4843.00,4949.00,4519.00
none,11.52,0.00,0.00,100.00,drizzle,light intensity drizzle,19.00,3.00,10.00,2012.00,False,4519.00,3435.00,3511.00,3427.00
none,10.29,0.00,0.00,100.00,rain,light rain,20.00,3.00,10.00,2012.00,False,3427.00,2921.00,3039.00,2921.00
none,9.36,0.00,0.00,100.00,drizzle,light intensity drizzle,21.00,3.00,10.00,2012.00,False,2921.00,2763.00,2679.00,2649.00
none,8.75,0.00,0.00,90.00,clouds,overcast clouds,22.00,3.00,10.00,2012.00,False,2649.00,1930.00,2094.00,2005.00
none,8.70,0.00,0.00,90.00,clouds,overcast clouds,23.00,3.00,10.00,2012.00,False,2005.00,1160.00,1284.00,1177.00
none,8.12,0.00,0.00,90.00,clouds,overcast clouds,0.00,4.00,10.00,2012.00,False,1177.00,654.00,630.00,699.00
none,7.82,0.00,0.00,87.00,mist,mist,1.00,4.00,10.00,2012.00,False,699.00,374.00,410.00,436.00
none,7.29,0.00,0.00,87.00,mist,mist,2.00,4.00,10.00,2012.00,False,436.00,301.00,331.00,353.00
none,6.87,0.00,0.00,87.00,mist,mist,3.00,4.00,10.00,2012.00,False,353.00,397.00,372.00,399.00
none,6.64,0.00,0.00,87.00,drizzle,drizzle,4.00,4.00,10.00,2012.00,False,399.00,794.00,739.00,720.00
none,6.59,0.00,0.00,87.00,rain,light rain,5.00,4.00,10.00,2012.00,False,720.00,2564.00,2561.00,2370.00
none,6.50,0.00,0.00,87.00,rain,light rain,6.00,4.00,10.00,2012.00,False,2370.00,5358.00,5586.00,5162.00
none,6.30,0.00,0.00,91.00,rain,moderate rain,7.00,4.00,10.00,2012.00,False,5162.00,6441.00,6992.00,5777.00
none,6.07,0.00,0.00,91.00,rain,light rain,8.00,4.00,10.00,2012.00,False,5777.00,5536.00,5860.00,5235.00
none,6.20,0.00,0.00,91.00,mist,mist,9.00,4.00,10.00,2012.00,False,5235.00,5256.00,5230.00,4606.00
none,6.77,0.00,0.00,91.00,mist,mist,10.00,4.00,10.00,2012.00,False,4606.00,4619.00,4864.00,4328.00
none,7.29,0.00,0.00,90.00,clouds,overcast clouds,11.00,4.00,10.00,2012.00,False,4328.00,5107.00,5146.00,4282.00
none,7.85,0.00,0.00,90.00,clouds,overcast clouds,12.00,4.00,10.00,2012.00,False,4282.00,5147.00,5526.00,4489.00
none,8.36,0.00,0.00,90.00,clouds,overcast clouds,13.00,4.00,10.00,2012.00,False,4489.00,5283.00,5383.00,4908.00
none,8.78,0.00,0.00,92.00,mist,mist,14.00,4.00,10.00,2012.00,False,4908.00,5704.00,5758.00,5620.00
none,8.79,0.00,0.00,92.00,drizzle,light intensity drizzle,15.00,4.00,10.00,2012.00,False,5620.00,5887.00,5889.00,5849.00
none,9.12,0.00,0.00,92.00,rain,moderate rain,16.00,4.00,10.00,2012.00,False,5849.00,6307.00,6057.00,4945.00
none,9.26,0.00,0.00,92.00,rain,light rain,17.00,4.00,10.00,2012.00,False,4945.00,5953.00,6028.00,4619.00
none,9.06,0.00,0.00,90.00,clouds,overcast clouds,18.00,4.00,10.00,2012.00,False,4619.00,4519.00,5257.00,4479.00
none,6.95,0.00,0.00,92.00,drizzle,light intensity drizzle,23.00,4.00,10.00,2012.00,False,3077.00,1177.00,1897.00,2051.00
none,6.91,0.00,0.00,92.00,rain,moderate rain,0.00,5.00,10.00,2012.00,True,2051.00,699.00,1335.00,1270.00
none,7.12,0.00,0.00,96.00,rain,light rain,1.00,5.00,10.00,2012.00,True,1270.00,436.00,769.00,773.00
none,7.23,0.00,0.00,96.00,drizzle,light intensity drizzle,2.00,5.00,10.00,2012.00,True,773.00,353.00,570.00,589.00
none,7.47,0.00,0.00,96.00,mist,mist,3.00,5.00,10.00,2012.00,True,589.00,399.00,413.00,432.00
none,7.76,0.00,0.00,96.00,rain,light rain,4.00,5.00,10.00,2012.00,True,432.00,720.00,399.00,401.00
none,7.81,0.00,0.00,96.00,drizzle,drizzle,5.00,5.00,10.00,2012.00,True,401.00,2370.00,740.00,759.00
